0.9178,0.0363,0.8562,0.5138,0.9174,0.8282,0.9091,0.9118,0.5419,0.9949,0.1969,0.9673,0.6750,0.4605,0.6462,0.9632,0.8251,0.7526,0.9100,0.7525,0.6048,0.1695,0.4687,0.1352,0.7542,0.7386,0.8822,0.2166,0.7457,0.4835,0.1961,0.0114,0.3145,0.3574,0.4519,0.7784,0.4393,0.9823,0.1501,0.1917,0.8253,0.8846,0.3100,0.1276,0.7790,0.8134,0.2152,0.5955,0.3749
0.0297,0.8849,0.9425,0.0438,0.1088,0.2668,0.8852,0.2736,0.3346,0.4852,0.5416,0.8621,0.4319,0.0654,0.3997,0.6784,0.2653,0.5105,0.3952,0.8074,0.1413,0.1935,0.0392,0.6448,0.3916,0.9450,0.9773,0.9029,0.7713,0.8948,0.6517,0.8546,0.1281,0.1252,0.4988,0.9652,0.3238,0.3479,0.2798,0.1348,0.5232,0.0294,0.6615,0.0381,0.0288,0.5094,0.6623,0.4538,0.3916
0.7797,0.2030,0.1558,0.3932,0.4901,0.9613,0.6692,0.3738,0.6207,0.4726,0.1941,0.8711,0.9824,0.6218,0.4929,0.6437,0.7654,0.5562,0.2967,0.9299,0.7980,0.4952,0.1533,0.1792,0.7247,0.0443,0.5919,0.9081,0.7512,0.8016,0.2188,0.6084,0.7038,0.7273,0.4108,0.8147,0.6864,0.3967,0.3332,0.4594,0.2520,0.2871,0.1076,0.4047,0.1157,0.6627,0.2233,0.9702,0.5620
0.1749,0.9942,0.3908,0.8640,0.0538,0.8946,0.7129,0.9118,0.4498,0.2198,0.2647,0.2722,0.9949,0.0011,0.5845,0.4232,0.1795,0.2815,0.5011,0.4618,0.7758,0.3047,0.4764,0.1448,0.2726,0.3843,0.6196,0.4757,0.7318,0.1440,0.0843,0.0338,0.6843,0.1818,0.8337,0.4355,0.2546,0.6240,0.3027,0.3829,0.2196,0.0778,0.1963,0.1735,0.0687,0.9839,0.6483,0.8264,0.9791
0.6894,0.3579,0.9986,0.8161,0.3574,0.9171,0.7474,0.0722,0.7179,0.5627,0.9629,0.5371,0.0754,0.3010,0.7192,0.6657,0.5405,0.7807,0.4384,0.9758,0.1656,0.3810,0.7595,0.4797,0.1420,0.7448,0.6885,0.4091,0.3901,0.3304,0.4614,0.0816,0.0401,0.5573,0.5870,0.2873,0.1282,0.5182,0.5181,0.8313,0.8734,0.9883,0.1487,0.8141,0.3726,0.9215,0.1164,0.2000,0.6329
0.1853,0.9998,0.1819,0.6522,0.2261,0.7438,0.2546,0.1046,0.5964,0.4794,0.2546,0.5227,0.4944,0.0406,0.6867,0.9210,0.8408,0.4434,0.0590,0.5712,0.2444,0.6190,0.0204,0.0600,0.1945,0.9395,0.0016,0.9803,0.9964,0.0712,0.0655,0.8245,0.8735,0.2149,0.4529,0.7959,0.1664,0.3956,0.7887,0.3018,0.1366,0.3416,0.2616,0.4909,0.1220,0.2045,0.1112,0.3762,0.7843
0.2388,0.1606,0.4271,0.2444,0.7844,0.8251,0.4917,0.6647,0.6543,0.6802,0.0615,0.2187,0.9815,0.3505,0.7980,0.5798,0.1860,0.8571,0.8921,0.3513,0.8155,0.1414,0.7953,0.7578,0.2844,0.1653,0.0389,0.7183,0.0315,0.0786,0.1750,0.6949,0.6504,0.8152,0.2542,0.0413,0.0184,0.9697,0.3375,0.8436,0.0170,0.1535,0.8307,0.4039,0.0420,0.3360,0.8744,0.4316,0.9390
0.1820,0.6818,0.2600,0.9956,0.3889,0.4572,0.9540,0.6601,0.9545,0.5035,0.3273,0.3686,0.5707,0.1858,0.2984,0.1425,0.9852,0.6835,0.9911,0.1318,0.8846,0.2789,0.2661,0.4741,0.1167,0.3504,0.7756,0.2389,0.7769,0.8545,0.1499,0.0931,0.9761,0.8911,0.4280,0.1771,0.1274,0.2618,0.5915,0.9451,0.6963,0.7087,0.1179,0.9251,0.5905,0.3286,0.3189,0.9114,0.1361
0.5353,0.7332,0.3258,0.4947,0.1700,0.6477,0.3907,0.8271,0.3440,0.6304,0.7155,0.6503,0.3517,0.2776,0.7855,0.2214,0.8363,0.5323,0.1398,0.5220,0.4070,0.2897,0.4465,0.6904,0.0611,0.5869,0.9207,0.2023,0.8993,0.3150,0.1800,0.1564,0.2154,0.5748,0.0452,0.3866,0.2162,0.1874,0.5653,0.0040,0.5379,0.2801,0.2547,0.7811,0.9810,0.7538,0.9819,0.9642,0.6549
0.3496,0.5863,0.1044,0.6389,0.7313,0.3516,0.2999,0.1540,0.9462,0.9802,0.0496,0.2787,0.3547,0.1429,0.2973,0.6071,0.5437,0.0246,0.7037,0.0788,0.5833,0.4290,0.1887,0.2922,0.7201,0.3072,0.6477,0.6926,0.2399,0.1896,0.8148,0.8096,0.2250,0.4361,0.2095,0.8278,0.6396,0.1197,0.2224,0.6344,0.2036,0.5942,0.7473,0.6558,0.9278,0.1967,0.9751,0.5486,0.7493
